"year","Season","StartDate","count","spp","Country","LocationCode","CountCondition","X","Y","Year","good_site"
2000,"O",2000-08-25,6,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2000,1
2000,"O",2000-09-22,31,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2000,1
2000,"O",2000-10-30,2,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2000,1
2000,"O",2000-11-29,3,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2000,1
2000,"O",2000-12-15,3,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2000,1
2000,"S",2000-01-01,NA,"Egyptian Goose",NA,"34051846",NA,18.76439,-34.07994,2000,1
2000,"W",2000-07-21,12,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2000,1
2001,"O",2001-02-27,22,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-03-23,2,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-04-26,2,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-05-29,1,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-06-29,2,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-07-26,1,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-08-27,6,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-09-28,1,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-10-30,2,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-11-29,33,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"O",2001-12-28,5,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"S",2001-01-26,15,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2001,1
2001,"W",2001-07-01,NA,"Egyptian Goose",NA,"34051846",NA,18.76439,-34.07994,2001,1
2002,"O",2002-02-26,12,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2002,1
2002,"O",2002-09-26,0,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2002,1
2002,"S",2002-01-26,2,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2002,1
2002,"W",2002-07-06,13,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2002,1
2002,"W",2002-08-30,15,"Egyptian Goose","South Africa","34051846",NA,18.76439,-34.07994,2002,1
2003,"S",2003-01-31,9,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2003,1
2003,"W",2003-06-27,4,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2003,1
2004,"S",2004-01-30,15,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2004,1
2004,"W",2004-07-21,13,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2004,1
2005,"S",2005-01-28,7,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2005,1
2005,"W",2005-07-29,8,"Egyptian Goose","South Africa","34051846",0,18.76439,-34.07994,2005,1
2006,"S",2006-02-08,2,"Egyptian Goose","South Africa","34051846",0,18.76439,-34.07994,2006,1
2006,"W",2006-07-28,0,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2006,1
2007,"S",2007-01-30,2,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2007,1
2007,"W",2007-07-12,7,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2007,1
2008,"S",2008-02-09,0,"Egyptian Goose","South Africa","34051846",2,18.76439,-34.07994,2008,1
2008,"W",2008-08-12,22,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2008,1
2009,"S",2009-02-06,0,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2009,1
2009,"W",2009-07-09,55,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2009,1
2010,"S",2010-02-01,7,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2010,1
2010,"W",2010-08-12,3,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2010,1
2011,"S",2011-01-26,0,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2011,1
2011,"W",2011-08-16,2,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2011,1
2012,"S",2012-02-09,0,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2012,1
2012,"W",2012-07-18,0,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2012,1
2013,"S",2013-02-09,5,"Egyptian Goose","South Africa","34051846",3,18.76439,-34.07994,2013,1
2013,"W",2013-07-24,0,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2013,1
2014,"S",2014-02-11,5,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2014,1
2014,"W",2014-07-23,13,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2014,1
2015,"S",2015-02-06,0,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2015,1
2015,"W",2015-07-23,0,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2015,1
2016,"S",2016-02-12,19,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2016,1
2016,"W",2016-08-05,13,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2016,1
2017,"S",2017-01-21,7,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2017,1
2017,"W",2017-07-13,2,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2017,1
2018,"S",2018-01-30,0,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2018,1
2018,"W",2018-07-19,11,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2018,1
2019,"S",2019-01-01,NA,"Egyptian Goose",NA,"34051846",NA,18.76439,-34.07994,2019,1
2019,"W",2019-08-01,0,"Egyptian Goose","South Africa","34051846",5,18.76439,-34.07994,2019,1
2020,"S",2020-02-19,4,"Egyptian Goose","South Africa","34051846",4,18.76439,-34.07994,2020,1
2020,"W",2020-07-01,NA,"Egyptian Goose",NA,"34051846",NA,18.76439,-34.07994,2020,1
